"id","name","code","user_type_id/id","chart_template_id/id","group_id/id","reconcile"
"account_cia_1010101","CAJA","1.01.01.01","account.data_account_type_liquidity","l10n_ec.account_chart_template_cia","l10n_ec.account_group_10101","False"
"account_cia_1010102","INSTITUCIONES FINANCIERAS PÚBLICAS","1.01.01.02","account.data_account_type_liquidity","l10n_ec.account_chart_template_cia","l10n_ec.account_group_10101","False"
"account_cia_1010103","INSTITUCIONES FINANCIERAS PRIVADAS","1.01.01.03","account.data_account_type_liquidity","l10n_ec.account_chart_template_cia","l10n_ec.account_group_10101","False"
"account_cia_10102010101","ACCIONES Y PARTICIPACIONES","1.01.02.01.01.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010102","CUOTAS DE FONDOS COLECTIVOS","1.01.02.01.01.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010103","VALORES DE TITULARIZACIÓN DE PARTICIPACIÓN","1.01.02.01.01.03","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010104","UNIDADES DE PARTICIPACIÓN","1.01.02.01.01.04","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010105","INVERSIONES EN EL EXTERIOR","1.01.02.01.01.05","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010106","OTROS ","1.01.02.01.01.06","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020101","False"
"account_cia_10102010201","AVALES","1.01.02.01.02.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010202","BONOS DEL ESTADO","1.01.02.01.02.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010203","BONOS DE PRENDA","1.01.02.01.02.03","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010204","CÉDULAS HIPOTECARIAS","1.01.02.01.02.04","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010205","CERTIFICADOS FINANCIEROS","1.01.02.01.02.05","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010206","CERTIFICADOS DE INVERSIÓN","1.01.02.01.02.06","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
"account_cia_10102010207","CERTIFICADOS DE TESORERÍA","1.01.02.01.02.07","account.data_account_type_current_assets","l10n_ec.account_chart_template_cia","l10n_ec.account_group_101020102","False"
