"id","name","code","user_type_id/id","chart_template_id/id","group_id/id","reconcile"
"account_sri_101010102","CAJA TARJETAS CREDITO","1.01.01.01.02","account.data_account_type_liquidity","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010101","False"
"account_sri_101010103","CAJA CHEQUES POSTFECHADOS","1.01.01.01.03","account.data_account_type_liquidity","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010101","False"
"account_sri_101010105","TRANSFERENCIAS INTERNAS (CERO)","1.01.01.01.05","account.data_account_type_liquidity","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010101","False"
"account_sri_101010202","PRODUBANCO","1.01.01.02.02","account.data_account_type_liquidity","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010102","False"
"account_sri_101020401","ACTIVOS FINANCIEROS A VALOR RAZONABLE CON CAMBIOS EN RESULTADOS ","1.01.02.04.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010204","False"
"account_sri_101020402","ACTIVOS FINANCIEROS DISPONIBLES PARA LA VENTA","1.01.02.04.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010204","False"
"account_sri_101020403","ACTIVOS FINANCIEROS MANTENIDOS HASTA EL VENCIMIENTO","1.01.02.04.03","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010204","False"
"account_sri_101020404","(-) PROVISION POR DETERIORO","1.01.02.04.04","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010204","False"
"account_sri_1010205022101","Otras CxC No Relacionadas GARANTIA POR ARRIENDO OFICINA","1.01.02.05.02.21.01","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_10102050221","True"
"account_sri_1010205022102","Otras CxC No Relacionadas GARANTIA INTERNET","1.01.02.05.02.21.02","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_10102050221","True"
"account_sri_1010205022103","Otras CxC No Relacionadas ","1.01.02.05.02.21.03","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_10102050221","True"
"account_sri_101020601","POR COBRAR A ACCIONISTAS ","1.01.02.06.01","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010206","True"
"account_sri_10102060301","CxC CLIENTES RELACIONADOS","1.01.02.06.03.01","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_101020603","True"
"account_sri_10102060302","CxC ANTICIPO EMPLEADOS","1.01.02.06.03.02","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_101020603","True"
"account_sri_10102060401","Otras CxC Relacionadas PRESTAMOS","1.01.02.06.04.01","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_101020604","True"
"account_sri_10102060402","Otras CxC Relacionadas ANTICIPOS","1.01.02.06.04.02","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_101020604","True"
"account_sri_1010207","PROVISIÓN POR CUENTAS INCOBRABLES Y DETERIORO ","1.01.02.07","account.data_account_type_receivable","l10n_ec.account_chart_template_sri","l10n_ec.account_group_10102","True"
"account_sri_101030801","COSTOS DIRECTOS Obras en Construcción","1.01.03.08.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010308","False"
"account_sri_101030802","COSTOS INDIRECTOS Obras en Construcción","1.01.03.08.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010308","False"
"account_sri_101030803","MANO DE OBRA Obras en Construcción","1.01.03.08.03","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010308","False"
"account_sri_101031301","(-) PROVISION DE INVENTARIOS POR VALOR NETO DE REALIZACION","1.01.03.13.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010313","False"
"account_sri_101031302","(-) PROVISION DE INVENTARIOS POR DETERIORO FISICO","1.01.03.13.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010313","False"
"account_sri_101050101","IVA EN COMPRAS","1.01.05.01.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050102","RETENCIONES IVA 10%","1.01.05.01.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050103","RETENCIONES IVA 20%","1.01.05.01.03","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050104","RETENCIONES IVA 30%","1.01.05.01.04","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050105","RETENCIONES IVA 70%","1.01.05.01.05","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050106","RETENCIONES IVA 100%","1.01.05.01.06","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050107","CRÉDITO TRIBUTARIO A FAVOR DE LA EMPRESA","1.01.05.01.07","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010501","False"
"account_sri_101050201","IMPUESTOS RETENIDOS POR CLIENTES AÑOS ANTERIORES","1.01.05.02.01","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010502","False"
"account_sri_101050202","IMPUESTOS RETENIDOS POR CLIENTES AÑO ACTUAL","1.01.05.02.02","account.data_account_type_current_assets","l10n_ec.account_chart_template_sri","l10n_ec.account_group_1010502","False"
