"id","description","impuesto","name","codigoporcentaje","codigo","type_tax_use","amount_type","amount","python_compute","python_applicable","tax_group_id:id","tag_ids:id","sequence"
"tax_103302","Servicios en relación de dependencia que supera o no la base desgravada","302","302","302","1","purchase","code","","result = 1000000000","result = True","tax_group_retair","account_tag_103302","100"
"tax_103303","Honorarios profesionales y demás pagos por servicios relacionados con el título profesional","303","303","303","1","purchase","code","-10","result = round(price_unit*quantity, 2)*-0.1 -0.0001","result = True","tax_group_retair","account_tag_103303","100"
"tax_103304","Servicios predomina el intelecto no relacionados con el título profesional","304","304","304","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103306","Por compras locales de materia prima","306","306","306","1","purchase","code","-1","result = round(price_unit*quantity, 2)*-0.01 -0.0001","result = True","tax_group_retair","account_tag_103306","100"
"tax_103304A","Comisiones y demás pagos por servicios predomina intelecto no relacionados con el título profesional","304A","304A","304A","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103304B","Pagos a notarios y registradores de la propiedad y mercantil por sus actividades ejercidas como tales","304B","304B","304B","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103304C","Pagos a deportistas, entrenadores, árbitros, miembros del cuerpo técnico por sus actividades ejercidas como tales","304C","304C","304C","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103304D","Pagos a artistas por sus actividades ejercidas como tales","304D","304D","304D","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103304E","Honorarios y demás pagos por servicios de docencia","304E","304E","304E","1","purchase","code","-8","result = round(price_unit*quantity, 2)*-0.08 -0.0001","result = True","tax_group_retair","account_tag_103304","100"
"tax_103307","Servicios predomina la mano de obra","307","307","307","1","purchase","code","-2","result = round(price_unit*quantity, 2)*-0.02 -0.0001","result = True","tax_group_retair","account_tag_103307","100"
